,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
7d4462dd5188d1a8e66de38f3398102d,0,0,2,0,0,6,172,0,0,0,0,0,0,0,0
b72fa27004f1f61ff93d4d0ff5576fd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917b90ee5cc37041b6c74dd87b7b7b3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3eaaf0e3d703ad371bad48549d74767e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbaf817739c69f4987995c853cd68639,0,0,0,0,0,17,17,0,0,4,0,48,124,7,0
1c894369a1422352b77ca6b7998366f2,0,0,0,0,0,0,0,0,0,199,214,2009,230,0,0
ee7ad8b8ef048123416e2ca646e74da5,0,0,0,0,265,420,214,0,0,0,0,75,112,94,0
30ba0df272ad383372084df7b30f2bb2,0,0,0,0,93,0,0,0,0,0,0,0,102,201,0
72791e6dca7c8f7079f740d654afb598,226,447,281,406,101,80,113,0,0,0,0,0,0,0,0
376d0d9b8b927dd4768355e64c48a9a5,108,181,197,427,0,0,0,0,0,0,0,0,0,0,0
9266222a5f30671b5a16145513586e8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977101c74420b66c8b92b81536e01df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07547e91cd54f317ee921b11ca47e235,0,0,0,0,0,0,0,0,0,0,0,660,1715,443,1039
be0a751173ed7645d850d03362f8eeb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c5ce556fd442416e75b160660f95a23,27,24,176,456,25,19,27,0,0,0,0,4,0,0,0
4873b287ff395946a77ba86715559d72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76a1691ec45483a16bca8d4aafefbc86,0,0,0,0,0,0,0,0,0,94,0,0,0,0,104
d0d239231794051e8faa14046f02ede3,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0
3a32315ea585018e223555cf46471a82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b171350b9411b718ed5dbcf7485a7fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eb37ebe81ca125f66d024929a8ed7c49,0,0,0,0,0,0,0,0,0,338,0,0,0,447,0
09e78e378e34a3e16b393fde463a74ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8204d55fe4363b28053a1933941a9958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2bbec7ce1b4c308e50b494b96e73412e,0,0,0,0,0,0,0,0,0,402,65,0,48,67,0
51c6ce8ee4823a28d19e7dd8fa2fcb14,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0
690a50b0017b17e6a7d1cb9f7b34e1ec,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
1d47d656d1cb367d5ab5e7b74b018d94,141,286,0,0,124,78,104,0,0,0,0,0,0,0,0
679b7094b8fd652de7ea955859c27e38,0,0,0,0,0,0,0,70,114,0,0,0,0,0,0
836a80c46e93f8508d55737e9a51a007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94d177f30e4c17cc0609b116c18c3e38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a57950f035ad1fea07beac90ef636b8,0,0,0,0,0,0,0,0,0,0,0,131,2914,0,0
b5ffc719acfffe0e40288d146238ee19,0,0,0,0,0,0,0,0,0,0,0,76,0,0,42
5baee206a5f5069ebf09eaba5db8f626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12382769706c86d4083d3560b8051cf1,0,0,0,0,0,0,0,0,0,0,0,0,1117,699,0
454eca9b89709b0639bea204879fff52,117,236,0,0,88,67,90,0,0,0,0,0,0,0,0
703b688397f1519ba71e18543558a3a8,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0
aae0b0d834fcda699b6421f4b699a307,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
888d682eb32cc17f3ba2d3aef621c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2274105ae4d5662f74927e35a98a948,167,267,109,135,131,80,0,0,0,0,0,0,45,0,0
c64919631810507c98e66afad2402569,0,0,0,0,0,183,277,0,0,0,0,0,0,139,56
602f00df98cba858a5cc1fb9eae92a20,0,0,0,0,0,159,250,0,0,0,0,0,0,134,55
e301918fcc44be55430fed1278d6d68d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1b651ace43d39bfc927494ce3c9716d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
